record_date,tot_pub_debt_out_amt,record_fiscal_year,record_calendar_year,record_calendar_day
2023-10-24,33684219111864.76,2024,2023,24
2023-10-23,33636013783185.72,2024,2023,23
2023-10-20,33627279194343.04,2024,2023,20
2023-10-19,33626943979485.12,2024,2023,19
2023-10-18,33629187105622.79,2024,2023,18
2023-10-17,33648686850967.49,2024,2023,17
2023-10-16,33590304573293.45,2024,2023,16
2023-10-13,33529128255188.48,2024,2023,13
2023-10-12,33523064674012.35,2024,2023,12
2023-10-11,33537137879410.41,2024,2023,11
2023-10-10,33550239305902.84,2024,2023,10
2023-10-06,33510833601230.21,2024,2023,06
2023-10-05,33513382512663.51,2024,2023,05
2023-10-04,33477960047805.47,2024,2023,04
2023-10-03,33474904868026.30,2024,2023,03
2023-10-02,33442148619617.43,2024,2023,02
2023-09-29,33167334044723.16,2023,2023,29
2023-09-28,33126476376937.36,2023,2023,28
2023-09-27,33126911471375.81,2023,2023,27
2023-09-26,33146408994532.36,2023,2023,26
2023-09-25,33112060391950.29,2023,2023,25
2023-09-22,33101965802900.40,2023,2023,22
2023-09-21,33100408357471.81,2023,2023,21
2023-09-20,33070803843484.64,2023,2023,20
2023-09-19,33091844110815.65,2023,2023,19
2023-09-18,33053950837720.90,2023,2023,18
2023-09-15,33044858730468.04,2023,2023,15
2023-09-14,32988632843664.10,2023,2023,14
2023-09-13,32959505153577.02,2023,2023,13
2023-09-12,32979921616712.66,2023,2023,12
2023-09-11,32940629592824.66,2023,2023,11
2023-09-08,32940661203521.87,2023,2023,08
2023-09-07,32935650483547.70,2023,2023,07
2023-09-06,32903153698686.77,2023,2023,06
2023-09-05,32890665217705.83,2023,2023,05
2023-09-01,32841516339054.53,2023,2023,01
2023-08-31,32914149363760.95,2023,2023,31
2023-08-30,32854452857620.10,2023,2023,30
2023-08-29,32856459016611.95,2023,2023,29
2023-08-28,32814443005564.85,2023,2023,28
2023-08-25,32810223546146.86,2023,2023,25
2023-08-24,32777879728405.51,2023,2023,24
2023-08-23,32740372767613.62,2023,2023,23
2023-08-22,32759307280146.99,2023,2023,22
2023-08-21,32710634463121.12,2023,2023,21
2023-08-18,32704414954249.48,2023,2023,18
2023-08-17,32703692544630.03,2023,2023,17
2023-08-16,32661578249677.03,2023,2023,16
2023-08-15,32679941424168.59,2023,2023,15
2023-08-14,32663530449768.77,2023,2023,14
2023-08-11,32658608220243.14,2023,2023,11
2023-08-10,32658063006610.57,2023,2023,10
2023-08-09,32620930327834.11,2023,2023,09
2023-08-08,32644136864636.77,2023,2023,08
2023-08-07,32611306799308.24,2023,2023,07
2023-08-04,32603146075129.53,2023,2023,04
2023-08-03,32604327644488.70,2023,2023,03
2023-08-02,32599351354449.13,2023,2023,02
2023-08-01,32587568982505.21,2023,2023,01
2023-07-31,32608585072666.14,2023,2023,31
2023-07-28,32657120596498.01,2023,2023,28
2023-07-27,32659378691249.41,2023,2023,27
2023-07-26,32634846702744.10,2023,2023,26
2023-07-25,32651223755977.61,2023,2023,25
2023-07-24,32597769037193.63,2023,2023,24
2023-07-21,32592962824463.71,2023,2023,21
2023-07-20,32592226328901.30,2023,2023,20
2023-07-19,32569914975378.20,2023,2023,19
2023-07-18,32590931867992.77,2023,2023,18
2023-07-17,32535010186295.34,2023,2023,17
2023-07-14,32542410783066.52,2023,2023,14
2023-07-13,32542322793399.60,2023,2023,13
2023-07-12,32518395816772.17,2023,2023,12
2023-07-11,32538466818074.23,2023,2023,11
2023-07-10,32481106332188.70,2023,2023,10
2023-07-07,32477557021205.00,2023,2023,07
2023-07-06,32474413322200.55,2023,2023,06
2023-07-05,32402127570957.67,2023,2023,05
2023-07-03,32320860659267.72,2023,2023,03
2023-06-30,32332274184762.99,2023,2023,30
2023-06-29,32317771369915.85,2023,2023,29
2023-06-28,32246996999971.79,2023,2023,28
2023-06-27,32266627668494.67,2023,2023,27
2023-06-26,32195327569330.09,2023,2023,26
2023-06-23,32172576566647.61,2023,2023,23
2023-06-22,32168649898303.94,2023,2023,22
2023-06-21,32095742365497.49,2023,2023,21
2023-06-20,32105203198332.68,2023,2023,20
2023-06-16,32044348877002.64,2023,2023,16
2023-06-15,32039244474237.54,2023,2023,15
